scheme_code,date,nav
125497,2026-06-20,1025.45
125497,2026-06-21,1028.30
125497,2026-06-22,1031.10
119551,2026-06-20,98.45
119551,2026-06-21,99.10
119551,2026-06-22,99.85
120503,2026-06-20,87.25
120503,2026-06-21,87.90
120503,2026-06-22,88.35
118632,2026-06-20,72.40
118632,2026-06-21,73.05
118632,2026-06-22,73.60
119092,2026-06-20,63.20
119092,2026-06-21,63.95
119092,2026-06-22,64.30
120841,2026-06-20,55.10
120841,2026-06-21,55.70
120841,2026-06-22,56.25
100001,2026-06-20,3120.20
100002,2026-06-20,42.35
100003,2026-06-20,65.80
100004,2026-06-20,89.75
